Model,Rank,F1 Score,Trial #
XGBoost,1,0.9236054857365369,38
XGBoost,2,0.9234513617416631,41
XGBoost,3,0.9233247706975595,39
LSTM,1,0.9877818015320436,47
LSTM,2,0.987372059455431,15
LSTM,3,0.9872057484137907,27
LSTM-FCN,1,0.9896125145188243,32
LSTM-FCN,2,0.9894002007337424,31
LSTM-FCN,3,0.9884255498096822,34
CNN-Transformer,1,0.9889970285941051,47
CNN-Transformer,2,0.9885902170279451,46
CNN-Transformer,3,0.9884604218550676,44
TransKal,1,0.9877504517848318,31
TransKal,2,0.9877437106958837,17
TransKal,3,0.9877058115743745,33
LSTM-Autoencoder,1,0.981739927432699,33
LSTM-Autoencoder,2,0.9800294655073924,26
LSTM-Autoencoder,3,0.9788858000909637,25
Conv-Autoencoder,1,0.993693569382303,49
Conv-Autoencoder,2,0.9927413305313807,46
Conv-Autoencoder,3,0.9920038385381066,44
