Model,Rank,F1 Score,Trial #
XGBoost,1,0.870658586465231,4
XGBoost,2,0.8626977144283182,1
XGBoost,3,0.844355344193814,0
LSTM,1,0.9150263232948467,3
LSTM,2,0.9004156280176624,4
LSTM,3,0.8880973452917753,1
LSTM-FCN,1,0.9145699648763306,1
LSTM-FCN,2,0.9129861886440469,2
LSTM-FCN,3,0.9060113631442471,4
CNN-Transformer,1,0.9490790799560074,2
CNN-Transformer,2,0.948108416855371,3
CNN-Transformer,3,0.9431797172622839,4
TransKal,1,0.9715801192732161,3
TransKal,2,0.9663662593264657,0
TransKal,3,0.9187498487502345,4
LSTM-Autoencoder,1,0.9640103246577745,2
LSTM-Autoencoder,2,0.9525699259623294,1
LSTM-Autoencoder,3,0.9388106231484222,4
Conv-Autoencoder,1,0.9163419217590622,1
Conv-Autoencoder,2,0.913452465870482,2
Conv-Autoencoder,3,0.9079378474532795,3
