,0,1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,19,20
0,116414,0,65,0,223,0,0,82,8222,3640,79,234,0,12533,1015,403,9481,7609
1,219,157501,5,0,1,0,0,1154,124,31,13,299,0,60,0,5,65,523
2,1749,0,157313,0,4,0,0,163,136,76,2,27,0,229,7,14,148,132
4,0,0,1,155663,1,0,0,1,2,4279,4,5,17,1,20,0,6,0
5,136,0,1,0,156969,0,1,87,285,24,2193,125,0,36,2,26,82,33
6,8,0,0,0,0,159977,0,0,1,3,0,1,0,1,0,0,3,6
7,0,0,0,0,0,0,159697,2,6,6,218,8,0,0,0,5,55,3
8,3386,2813,1580,0,41,6,40,132119,1721,168,11702,3901,0,827,202,146,592,756
10,20940,0,15,0,126,0,0,634,116689,1095,1271,550,1,11552,333,80,3559,3155
11,11902,0,12,12860,42,0,0,26,1843,125138,39,44,709,1729,2150,53,1999,1454
12,1443,4,6,0,3609,10,60,2914,3546,241,131021,2720,129,480,379,12214,340,884
13,5811,5,16,1,339,2,107,5065,3290,291,11264,129000,3,1073,383,2108,662,580
14,68,0,0,2,0,0,0,0,14,204,1,1,155757,9,3914,0,22,8
16,24713,0,10,0,105,0,0,123,22406,1246,217,141,0,103985,309,59,3659,3027
17,5732,0,2,1,12,0,0,24,1085,1713,91,28,2744,892,146392,26,712,546
18,7104,0,3,0,746,0,18,170,660,235,4109,239,0,814,74,144691,650,487
19,17205,0,4,0,99,0,0,43,3060,4268,45,83,0,4497,846,40,124574,5236
20,23672,0,24,0,242,0,0,130,5516,1185,969,200,0,4244,382,108,3512,119816
