step,time_hours,predicted_class,confidence,alternatives,true_class,correct
0,0.0,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",0,True
1,0.05,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",0,True
2,0.1000000000000003,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",0,True
3,0.1499999999999994,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",0,False
4,0.1999999999999972,8,0.578118622303009,"[(8, 0.578118622303009), (0, 0.36730045080184937), (20, 0.030365271493792534)]",0,False
5,0.249999999999995,0,0.6646637320518494,"[(0, 0.6646637320518494), (8, 0.2696358263492584), (20, 0.030735861510038376)]",0,True
6,0.2999999999999929,8,0.4415205419063568,"[(8, 0.4415205419063568), (0, 0.2397768646478653), (20, 0.13130679726600647)]",0,False
7,0.3499999999999907,8,0.6143129467964172,"[(8, 0.6143129467964172), (0, 0.2338041514158249), (19, 0.044482216238975525)]",0,False
8,0.3999999999999885,5,0.9016605615615845,"[(5, 0.9016605615615845), (8, 0.0664137676358223), (0, 0.018555304035544395)]",0,False
9,0.4499999999999863,5,0.9187378883361816,"[(5, 0.9187378883361816), (8, 0.027952004224061966), (0, 0.019270027056336403)]",0,False
10,0.4999999999999842,8,0.4036967158317566,"[(8, 0.4036967158317566), (0, 0.20586001873016357), (11, 0.15996085107326508)]",0,False
11,0.5499999999999919,8,0.9311626553535461,"[(8, 0.9311626553535461), (0, 0.04802170768380165), (13, 0.006141375750303268)]",0,False
12,0.5999999999999998,8,0.9319489002227783,"[(8, 0.9319489002227783), (20, 0.027015766128897667), (0, 0.026035115122795105)]",0,False
13,0.6500000000000076,8,0.7347608804702759,"[(8, 0.7347608804702759), (0, 0.16665098071098328), (12, 0.018222397193312645)]",0,False
14,0.7000000000000154,8,0.8373460173606873,"[(8, 0.8373460173606873), (0, 0.09049104154109955), (18, 0.023187758401036263)]",0,False
15,0.7500000000000232,0,0.3279397487640381,"[(0, 0.3279397487640381), (20, 0.23363225162029266), (8, 0.22090493142604828)]",0,True
16,0.800000000000031,8,0.6426502466201782,"[(8, 0.6426502466201782), (0, 0.23254556953907013), (18, 0.030346672981977463)]",0,False
17,0.8500000000000388,8,0.8952544927597046,"[(8, 0.8952544927597046), (0, 0.04627268761396408), (17, 0.012703240849077702)]",0,False
18,0.9000000000000467,8,0.5861530303955078,"[(8, 0.5861530303955078), (20, 0.1426345407962799), (0, 0.13737726211547852)]",0,False
19,0.9500000000000544,19,0.6038658022880554,"[(19, 0.6038658022880554), (8, 0.29291242361068726), (0, 0.07438503950834274)]",0,False
20,1.0000000000000622,8,0.624824047088623,"[(8, 0.624824047088623), (0, 0.23022204637527466), (19, 0.0415303036570549)]",0,False
21,1.05000000000007,8,0.5471636652946472,"[(8, 0.5471636652946472), (0, 0.3511820137500763), (18, 0.021092191338539124)]",0,False
22,1.1000000000000778,8,0.26989123225212097,"[(8, 0.26989123225212097), (0, 0.24297791719436646), (5, 0.19444778561592102)]",0,False
23,1.1500000000000856,5,0.9988133907318115,"[(5, 0.9988133907318115), (8, 0.0006845343159511685), (0, 0.00022561149671673775)]",0,False
24,1.2000000000000934,8,0.551307201385498,"[(8, 0.551307201385498), (0, 0.3385586738586426), (11, 0.023707853630185127)]",0,False
